Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_104,2004,0.17487217,0,436.1751,0.005898613,0.1648585,2332.1274,499.3017,0.001319406,35.31887,262.544,11.008936,4.486621
Grid_Cell_104,2005,0.17610449,0,513.09546,0.005437596,0.17754287,2543.1807,519.1236,0.001254575,24.817175,276.3412,11.867914,4.3468447
Grid_Cell_104,2006,0.21648045,0,446.7406,0.005168927,0.17715348,2757.611,428.6682,0.001704428,29.87575,258.03848,11.422724,4.3350143
Grid_Cell_104,2007,0.1714598,0,409.48584,0.004795195,0.14891472,3090.3723,379.32733,0.000831,38.223133,241.48601,12.399317,4.4289794
Grid_Cell_104,2008,0.17344879,0,413.27707,0.004973779,0.14188495,2665.9888,371.85986,0.001391329,33.64585,232.28247,11.265253,4.091425
Grid_Cell_104,2009,0.18204935,0,423.49008,0.004669321,0.1512934,2813.5745,462.71304,0.000964,32.835205,228.34566,11.40069,4.284619
Grid_Cell_104,2010,0.2032566,0,422.19348,0.004946493,0.16028753,2931.091,449.9442,0.001281548,29.019987,253.25945,12.55636,4.4620233
Grid_Cell_104,2011,0.18901266,0,476.20642,0.004955772,0.18398976,2796.8662,442.1898,0.001215089,31.280525,245.18552,10.474207,4.662337
Grid_Cell_104,2012,0.24387221,0,396.61682,0.005205653,0.16617905,3041.1885,377.93225,0.003364478,30.373142,222.25739,11.533045,5.049426
Grid_Cell_104,2013,0.180438,0,349.14096,0.005015619,0.0638812,3146.4978,328.0565,0.000551,40.401047,194.71603,12.275019,5.0420766
Grid_Cell_104,2014,0.1629653,0,308.78506,0.004539171,0.06445367,3398.614,288.21637,0.000355,42.24916,170.95035,11.516199,5.3846807
Grid_Cell_104,2015,0.15231003,0,338.3394,0.004874297,0.05952381,3233.3755,333.60336,0.000518,46.19254,173.67181,12.438929,5.016951
Grid_Cell_104,2016,0.17028981,0,345.46182,0.005307508,0.04972795,2867.8882,380.14453,0.001150079,39.875233,201.76758,12.089472,4.718124
Grid_Cell_104,2017,0.16851883,0,260.20383,0.005042506,0.055223327,3186.5457,221.04793,0.000529,45.18001,180.3366,12.394831,4.964401
Grid_Cell_104,2018,0.15344897,263,279.65237,0.004837202,0.067175075,3345.9592,314.43442,0.001258055,47.80309,167.43938,12.6063175,5.0027547
Grid_Cell_104,2019,0.12993687,70,291.99805,0.005160286,0.060864944,3178.2273,223.62047,0.00051,48.64357,179.71146,13.024103,4.7816925
Grid_Cell_104,2020,0.12468814,75,297.0057,0.004757008,0.0672111,3609.21,292.0031,0.000602,49.821777,176.0455,13.21026,5.259051
